NS,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
340,CASA INDEPENDIENTE,PROPIA,NO,SI,PADRES Y HERMANOS,NaN,ESTUDIOS TECNICOS NO UNIVERSITARIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
341,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,OTROS ESTUDIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
342,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
343,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
344,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
345,CASA INDEPENDIENTE,OTRO,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,POR SU CUENTA
346,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
347,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
348,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
349,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
350,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
351,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,POR SU CUENTA
352,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
353,CASA INDEPENDIENTE,PROPIA,NO,SI,PADRES Y HERMANOS,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
354,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
355,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
356,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
357,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
358,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
359,CASA INDEPENDIENTE,PROPIA,NO,SI,PADRES Y HERMANOS,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
360,CASA INDEPENDIENTE,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
361,OTRO,ALQUILADA,SI,SI,OTROS PARIENTES,SUP. UNIV. COMPLETA,OTROS ESTUDIOS,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
362,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
363,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
364,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
365,OTRO,ALQUILADA,NO,SI,SOLO MADRE,NaN,ESTUDIOS TECNICOS NO UNIVERSITARIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,OTROS
366,CASA INDEPENDIENTE,PROPIA,SI,SI,OTROS PARIENTES,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
367,CASA INDEPENDIENTE,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
368,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
369,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
370,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,OTRAS,SUS PADRES
371,CASA INDEPENDIENTE,PROPIA,NO,NO,SOLO HERMANOS,NaN,NaN,NaN,NaN,NaN,NaN,SI,PROPIA,SUS PADRES
372,CASA INDEPENDIENTE,PROPIA,SI,SI,OTROS PARIENTES,SUP. UNIV. COMPLETA,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
373,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SUP. UNIV. INCOMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
374,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
375,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
376,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
377,CASA INDEPENDIENTE,PROPIA,NO,SI,PADRES Y HERMANOS,NaN,SUP. UNIV. INCOMPLETA,NaN,NaN,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
378,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
379,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
380,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
381,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
382,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,OTROS ESTUDIOS,SI,INDEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
383,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
384,CASA INDEPENDIENTE,PROPIA,SI,SI,OTROS PARIENTES,SECUNDARIA,SECUNDARIA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
385,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
386,CASA INDEPENDIENTE,OTRO,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
387,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
388,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
389,CASA INDEPENDIENTE,ALQUILADA,SI,SI,SOLO(A),SECUNDARIA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
390,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
391,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,NaN,SI,NaN,NO,NaN,SUS PADRES
392,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
393,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,NO,NaN,SI,NaN,POR SU CUENTA
394,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,NaN,NaN,NaN,NaN,NaN,NaN,SI,NaN,SUS PADRES
395,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
396,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
397,CASA INDEPENDIENTE,ALQUILADA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,POR SU CUENTA
398,CASA INDEPENDIENTE,ALQUILADA,NO,SI,SOLO HERMANOS,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,OTROS
399,OTRO,ALQUILADA,SI,SI,OTROS PARIENTES,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,DEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,POR SU CUENTA
400,OTRO,OTRO,SI,SI,OTROS PARIENTES,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
401,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
402,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,OTROS ESTUDIOS,SI,DEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,POR SU CUENTA
403,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
404,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
405,OTRO,ALQUILADA,SI,NO,OTROS PARIENTES,ESTUDIOS TECNICOS NO UNIVERSITARIOS,NaN,SI,INDEPENDIENTE,NaN,NaN,SI,OTRAS,OTROS
406,OTRO,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
407,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,OTROS
408,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
409,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
410,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
411,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. INCOMPLETA,SI,DEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
412,OTRO,ALQUILADA,SI,SI,SOLO(A),SECUNDARIA,SECUNDARIA,SI,DEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,POR SU CUENTA
413,OTRO,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,INDEPENDIENTE,NO,NaN,SI,PROPIA,POR SU CUENTA
414,OTRO,ALQUILADA,SI,SI,SOLO(A),SECUNDARIA,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,NO,NaN,POR SU CUENTA
415,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
416,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
417,CASA INDEPENDIENTE,PROPIA,NO,SI,SOLO MADRE,NaN,SECUNDARIA,NaN,NaN,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
418,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
419,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
420,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
421,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
422,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
423,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
424,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
425,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
426,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
427,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
428,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
429,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,OTROS ESTUDIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
430,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
431,CASA INDEPENDIENTE,PROPIA,SI,SI,OTROS PARIENTES,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
432,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
433,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
434,CASA INDEPENDIENTE,ALQUILADA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
435,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
436,OTRO,ALQUILADA,SI,SI,OTROS PARIENTES,SUP. UNIV. INCOMPLETA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,OTROS
437,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
438,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
439,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
440,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
441,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
442,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
443,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,POR SU CUENTA
444,CASA INDEPENDIENTE,ALQUILADA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,INDEPENDIENTE,NO,NaN,SI,PROPIA,SUS PADRES
445,CASA INDEPENDIENTE,OTRO,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
446,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SECUNDARIA,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
447,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. INCOMPLETA,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,OTRAS,POR SU CUENTA
448,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
449,OTRO,ALQUILADA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,OTRAS,SUS PADRES
450,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,DEPENDIENTE,SI,INDEPENDIENTE,NO,NaN,SUS PADRES
451,CASA INDEPENDIENTE,PROPIA,SI,SI,PADRES Y HERMANOS,OTROS ESTUDIOS,OTROS ESTUDIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,CABINAS DE INTERNET,SUS PADRES
452,OTRO,PROPIA,SI,SI,PADRES Y HERMANOS,SUP. UNIV. COMPLETA,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
453,CASA INDEPENDIENTE,PROPIA,NO,NO,SOLO HERMANOS,NaN,NaN,NaN,NaN,NaN,NaN,SI,PROPIA,POR SU CUENTA
